City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tsiombe,-25.3,45.4833,22.52,87,83,1.7,MG,1682270323
1,saipan,15.1355,145.701,27.39,100,75,6.26,MP,1682270313
2,adamstown,-25.066,-130.1015,23.62,93,99,7.28,PN,1682270309
3,jincheng,35.5022,112.8328,2.75,99,100,0.91,CN,1682270383
4,tiksi,71.6872,128.8694,-11.74,96,100,1.8,RU,1682270308
5,ilampillai,11.6,78.0,24.8,82,99,4.33,IN,1682270384
6,sur,22.5667,59.5289,25.15,68,89,3.64,OM,1682269964
7,yerofey pavlovich,53.9667,121.9667,-7.03,88,5,1.3,RU,1682270385
8,egilsstadir,65.2653,-14.3948,2.95,52,40,5.66,IS,1682270386
9,kerikeri,-35.2268,173.9474,13.28,92,86,2.8,NZ,1682270318
10,inarajan village,13.2736,144.7484,27.54,93,100,7.66,GU,1682270387
11,ushuaia,-54.8,-68.3,8.81,49,20,1.54,AR,1682270223
12,namibe,-15.1961,12.1522,24.7,72,34,7.07,AO,1682269868
13,port-aux-francais,-49.35,70.2167,3.08,96,100,13.28,TF,1682270308
14,sanming,26.2486,117.6186,22.36,98,100,0.9,CN,1682270388
15,albany,42.6001,-73.9662,10.73,91,100,0.45,US,1682269737
16,uturoa,-16.7333,-151.4333,27.75,80,84,7.45,PF,1682270319
17,longyearbyen,78.2186,15.6401,-7.09,63,0,1.54,SJ,1682270328
18,san luis de la loma,17.2706,-100.8939,31.17,53,33,3.34,MX,1682270365
19,greenville,35.6127,-77.3663,22.3,36,0,2.57,US,1682270303
20,iskateley,67.6803,53.1512,-6.93,87,64,5.97,RU,1682270310
21,hawaiian paradise park,19.5933,-154.9731,22.16,83,40,2.57,US,1682270321
22,port lincoln,-34.7333,135.8667,18.06,79,0,4.94,AU,1682270392
23,grytviken,-54.2811,-36.5092,3.5,97,95,4.61,GS,1682270308
24,puerto ayora,-0.7393,-90.3518,30.98,87,100,4.02,EC,1682270319
25,jamestown,42.097,-79.2353,6.77,78,100,4.12,US,1682269794
26,mumford,5.2618,-0.759,28.86,78,75,8.0,GH,1682270394
27,daru,-9.0763,143.2092,26.84,89,98,5.92,PG,1682269949
28,anadyr,64.75,177.4833,-6.72,93,20,3.0,RU,1682270334
29,dryden,49.7833,-92.7503,-1.18,71,100,1.96,CA,1682270130
30,bethel,41.3712,-73.414,15.01,86,100,1.54,US,1682270102
31,sindirgi,39.2413,28.1784,12.19,77,9,2.9,TR,1682270397
32,hardheim,49.6119,9.4719,17.09,65,100,1.85,DE,1682270397
33,alofi,-19.0595,-169.9187,21.94,83,23,1.54,NU,1682270398
34,kapit,2.0167,112.9333,23.95,99,28,0.87,MY,1682270398
35,fale old settlement,-9.3852,-171.2468,28.55,75,85,3.25,TK,1682270324
36,villajoyosa,38.5075,-0.2335,24.06,72,32,3.13,ES,1682270305
37,natal,-5.795,-35.2094,31.36,62,20,6.69,BR,1682270400
38,dock junction,31.2025,-81.5168,25.0,27,0,6.69,US,1682270400
39,lebu,-37.6167,-73.65,15.63,70,7,5.34,CL,1682270314
40,waitangi,-43.9535,-176.5597,13.79,91,93,1.79,NZ,1682270311
41,bredasdorp,-34.5322,20.0403,18.19,82,99,3.25,ZA,1682270260
42,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,86,75,1.0,RU,1682270342
43,ilulissat,69.2167,-51.1,2.01,93,100,1.54,GL,1682270322
44,tazovsky,67.4667,78.7,0.42,98,100,6.98,RU,1682270317
45,cockburn town,21.4612,-71.1419,25.13,65,0,4.24,TC,1682270324
46,baardheere,2.3446,42.2764,30.64,59,100,1.15,SO,1682270406
47,codrington,-38.2667,141.9667,10.71,87,0,3.09,AU,1682270333
48,kushiro,42.975,144.3747,1.83,79,87,3.04,JP,1682270407
49,badger,64.8,-147.5333,-11.38,55,75,9.77,US,1682270334
50,east london,-33.0153,27.9116,20.52,73,0,1.54,ZA,1682270347
